12/30/2020 Display Warehouse Stocks of Material                                       1
---------------------------------------------------------------------------------------------------------------------------
| SLoc|Material  |Material Description          |Batch     |  Unrestr.|   Blocked|Qual.Insp.|   Total Value|   Total Value|
| FPGI|80330524  |SWFR Wet Cloth Fresh 6/24ct TS|0336B68700|        0 |        0 |        2 |         0.00 |         0.00 |
| FPGI|80330524  |SWFR Wet Cloth Fresh 6/24ct TS|0356B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80331343  |HE SF CN Aloe & Ecalyps 6 400 |0303B68700|        0 |        1 |        0 |         0.00 |         4.17 |
| FPGI|80331687  |GAIN Dish Ult BA HnyBrryHula  |0277B6870U|        0 |       42 |        0 |         0.00 |       260.64 |
| FPGI|80331766  |H&S Tea Tree Oil 2n1 6 13.5Z  |0278B68700|        0 |      264 |        0 |         0.00 |     1,348.37 |
| FPGI|80332229  |PN SH SMOOTH & SLEEK 4 25.0Z  |0300B68700|        0 |        1 |        0 |         0.00 |         6.10 |
| FPGI|80332243  |PN SH REPAIR & PROTECT 4 900ML|0313B68700|        0 |        1 |        0 |         0.00 |         6.80 |
| FPGI|80332287  |PN SH REPAIR & PROTECT 4 20.1Z|0324B68700|        0 |        1 |        0 |         0.00 |         4.27 |
| FPGI|80332480  |HE SH COLOR ME HAPPY 6 11.7Z  |0312B68700|       40 |        0 |        0 |       137.07 |         0.00 |
| FPGI|80332482  |HE SH COLOR ME HAPPY 4 20.2Z  |0343B68700|        0 |       18 |        0 |         0.00 |        84.24 |
| FPGI|80332523  |HE SH CLASSICS SMOOTH 4 29.2Z |0322B68700|        0 |       13 |        0 |         0.00 |        80.30 |
| FPGI|80332568  |SWFR Wet OWF 88/60ct CA TS    |0311B6870H|        0 |       20 |        0 |         0.00 |     8,455.60 |
| FPGI|80332568  |SWFR Wet OWF 88/60ct CA TS    |0361B68701|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80333385  |SWFR Dstr 360 HD OD Pet 3/11c |0196B6870H|        0 |       80 |        0 |         0.00 |       459.29 |
| FPGI|80333385  |SWFR Dstr 360 HD OD Pet 3/11c |0303B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80333385  |SWFR Dstr 360 HD OD Pet 3/11c |0303B68701|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80333386  |SWFR Dstr 360 HD OD Pet 4/6ct |0330B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80333389  |SWFR Dstr 360 Unsc 6/3ct TS   |0145B6870H|        0 |      110 |        0 |         0.00 |       433.17 |
| FPGI|80333389  |SWFR Dstr 360 Unsc 6/3ct TS   |0321B6870H|        0 |       12 |        0 |         0.00 |        47.25 |
| FPGI|80333393  |SWFR Dstr 360 Unsc 4/6ct CA TS|0192B6870H|        0 |      220 |        0 |         0.00 |       939.44 |
| FPGI|80334571  |SWFR WJ Wood 4/12ct TS        |0276B68700|        0 |        5 |        0 |         0.00 |        23.37 |
| FPGI|80334580  |SWFR WJ 4/17ct TS             |0314B68700|        0 |        0 |        2 |         0.00 |         0.00 |
| FPGI|80334585  |SWFR WJ 4/24ct TS             |0318B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80334615  |H&S SH Classic Clean 4 32.1OZ |0271B68700|        0 |       10 |        0 |         0.00 |        75.22 |
| FPGI|80334615  |H&S SH Classic Clean 4 32.1OZ |0291B68701|        0 |        1 |        0 |         0.00 |         7.52 |
| FPGI|80334623  |SWFR Wet HD 960/1ct Bulk TS   |0348B68700|        0 |       48 |        0 |         0.00 |     3,120.33 |
| FPGI|80334722  |H&S 2n1 Dry Scalp 4 32.1OZ    |0281B68700|        0 |       18 |        0 |         0.00 |       145.23 |
| FPGI|80334743  |H&S SH CLASSIC CLEAN 6 13.5OZ |0299B68700|        0 |        1 |        0 |         0.00 |         4.82 |
| FPGI|80334743  |H&S SH CLASSIC CLEAN 6 13.5OZ |0299B68702|        0 |        1 |        0 |         0.00 |         4.82 |
| FPGI|80334748  |H&S 2N1 CLASSIC CLEAN 6 13.5OZ|0255B68700|        0 |        6 |        0 |         0.00 |        26.60 |
| FPGI|80334754  |H&S 2N1 DRY SCALP 6 13.5OZ    |0198B68701|        0 |        1 |        0 |         0.00 |         5.16 |
| FPGI|80334757  |H&S SH GREEN APPLE 6 13.5OZ   |0189B68700|        0 |        1 |        0 |         0.00 |         5.23 |
| FPGI|80334764  |H&S 2N1 ITCHY SCALP CARE 6 13 |0316B68700|        0 |        2 |        0 |         0.00 |        10.66 |
| FPGI|80334881  |H&S SH SMOOTH & SILKY 4 21.9OZ|0317B68700|        0 |       13 |        0 |         0.00 |        68.50 |
---------------------------------------------------------------------------------------------------------------------------
12/30/2020 Display Warehouse Stocks of Material                                       3
---------------------------------------------------------------------------------------------------------------------------
| SLoc|Material  |Material Description          |Batch     |  Unrestr.|   Blocked|Qual.Insp.|   Total Value|   Total Value|
|-------------------------------------------------------------------------------------------------------------------------|
| FPGI|80334979  |H&S SH DEEP MOISTURE 6 12.8OZ |0328B68700|        0 |        5 |        0 |         0.00 |        24.39 |
| FPGI|80334982  |H&S SH COCONUT CARE 6 13.5OZ  |0278B68701|        0 |        1 |        0 |         0.00 |         4.96 |
| FPGI|80334988  |H&S SH Lavender 6 12.8OZ      |0324B68700|        0 |        4 |        0 |         0.00 |        19.52 |
| FPGI|80336037  |SWFR Dstr 180 Unsc 4/10ct RF  |0339B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80336039  |SWFR Dstr 180 Gain 4/10ct RF  |0306B68701|        0 |        3 |        0 |         0.00 |        12.23 |
| FPGI|80336039  |SWFR Dstr 180 Gain 4/10ct RF  |0338B6870U|        0 |        0 |       14 |         0.00 |         0.00 |
| FPGI|80336039  |SWFR Dstr 180 Gain 4/10ct RF  |0355B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80336043  |SWFR Dstr 180 Lav 4/12ct RF TS|0268B68700|        0 |        0 |        3 |         0.00 |         0.00 |
| FPGI|80336045  |SWFR Dstr 180 Unsc 4/18ct RF  |0258B6870H|        0 |        2 |        0 |         0.00 |        14.37 |
| FPGI|80336045  |SWFR Dstr 180 Unsc 4/18ct RF  |0311B68701|        0 |       28 |        0 |         0.00 |       201.19 |
| FPGI|80336045  |SWFR Dstr 180 Unsc 4/18ct RF  |0311B687H1|        0 |       88 |        0 |         0.00 |       632.32 |
| FPGI|80336046  |SWFR Dstr 180 Lav 4/18ct RF TS|0323B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80336046  |SWFR Dstr 180 Lav 4/18ct RF TS|0337B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80338697  |PN SH Advanced Care 38.2oz 40 |0255B68700|        0 |        1 |        0 |         0.00 |       849.48 |
| FPGI|80338697  |PN SH Advanced Care 38.2oz 40 |0308B68701|        0 |        2 |        0 |         0.00 |     1,698.96 |
| FPGI|80341661  |DAWN Plat RefreshRain 8/34oz  |0341B6870U|        0 |       45 |        0 |         0.00 |       390.33 |
| FPGI|80342617  |OS FC BW Refresh 4/16oz       |0340B68700|        0 |        8 |        0 |         0.00 |        36.92 |
| FPGI|80343676  |OS RR BW Dynasty 4/16.9oz pump|0349B68700|        0 |       10 |        0 |         0.00 |        53.13 |
| FPGI|80343679  |OS RR BW Royalty 4/16.9oz pump|0349B68700|        0 |       10 |        0 |         0.00 |        52.46 |
| FPGI|80344688  |AU MIR CURLS COWASH 4CT 16.9Z |0119B68701|        0 |       14 |        0 |         0.00 |        62.41 |
| FPGI|80344688  |AU MIR CURLS COWASH 4CT 16.9Z |0193B68700|        0 |       71 |        0 |         0.00 |       316.52 |
| FPGI|80346231  |PN Baobab Hyd Glow CN 12 8Z   |0328B68701|        0 |        2 |        0 |         0.00 |        40.37 |
| FPGI|80346231  |PN Baobab Hyd Glow CN 12 8Z   |0329B68700|        0 |        3 |        0 |         0.00 |        60.55 |
| FPGI|80346231  |PN Baobab Hyd Glow CN 12 8Z   |0335B68700|        0 |        3 |        0 |         0.00 |        60.55 |
| FPGI|80346654  |OS FC BW Hydrate w/Aloe 4/16oz|0345B68700|        0 |        8 |        0 |         0.00 |        37.71 |
| FPGI|80346848  |H&S 2N1 CLASSIC CLEAN 6 13.5OZ|0334B68700|        0 |        2 |        0 |         0.00 |         9.86 |
| FPGI|80346997  |PN 2N1 SHEER VOLUME 6 12.6Z   |0171B68700|        0 |       11 |        0 |         0.00 |        45.58 |
| FPGI|80346997  |PN 2N1 SHEER VOLUME 6 12.6Z   |0340B68700|        0 |        2 |        0 |         0.00 |         8.29 |
| FPGI|80348847  |OS RR BW Sea Spray 4/16.9oz p |0339B68701|        0 |       10 |        0 |         0.00 |        50.98 |
| FPGI|80349545  |HE SH Classics Hydrate 4 865m |0351B68700|        0 |        1 |        0 |         0.00 |         6.80 |
| FPGI|80349985  |OS HWC BW Ultmt 4-IN-1 Swagge |0299B68702|        0 |      576 |        0 |         0.00 |     3,305.28 |
| FPGI|80349985  |OS HWC BW Ultmt 4-IN-1 Swagge |0304B68700|        0 |      192 |        0 |         0.00 |     1,101.76 |
| FPGI|80350890  |OS BW Swagger 24oz/700ml TRPL |0309B68704|        0 |        2 |        0 |         0.00 |     2,785.98 |
| FPGI|80351265  |ALT OS Swagger 2n1 4 650ml 21 |0341B68700|        1 |        0 |        0 |         5.67 |         0.00 |
| FPGI|80352363  |SWFR Dstr 360 Unsc 3/10ct Fdr |0339B68700|        0 |       80 |        0 |         0.00 |       439.79 |
| FPGI|80352364  |SWFR Dstr 360 Unsc 4/5ct Fdr  |0345B6870U|        0 |        8 |        0 |         0.00 |        44.94 |
| FPGI|80352783  |SWFR Dstr 360 Unsc 3/11ct BCP |0270B68700|        0 |        3 |        0 |         0.00 |        17.91 |
| FPGI|80352784  |SWFR Dstr 360 HD OD Pet 3/11c |0296B6870U|        0 |       45 |        0 |         0.00 |       269.27 |
| FPGI|80352784  |SWFR Dstr 360 HD OD Pet 3/11c |0304B68700|        0 |        0 |        1 |         0.00 |         0.00 |
| FPGI|80352803  |HE 2N1 HELLOHYDRATION 6 11.7Z |0269B68700|        0 |        1 |        0 |         0.00 |         3.81 |
| FPGI|81738687  |LENOR SHTS SPARKLING B&YP 12X |0259B68700|        0 |      209 |        0 |         0.00 |     1,025.03 |
| FPGI|83534224  |DAWN MANUAL P&P DET REG CLQ 1 |0230B6870H|        0 |       34 |        0 |         0.00 |       520.04 |
